title,link,dc_date,description
"&#9658;&#9658; Lead Software Engineer - Fastest growing social startup!  (mountain view)","http://sfbay.craigslist.org/pen/sof/2940122652.html",2012-04-04T18:17:08Z,"Overview:

Retrospective is the 1 sheet social news product that highlights important news for the people you care about. It's one of the fastest growing products of 2011.

We are looking for a star engineer to build out the backbone of our social news service reaching 56 million users. We have a great team of extremely sharp engineers - you will only add to that legacy.

We are looking to fill multiple positions. 

 Lead Software Engineer - Platform Infrastructure (big data, distributed computing, machine learning) 
 Senior Software Engineer - Social news (n-tier system, mobile, web, email clients)


The Perks:

	Join a well funded, pre-IPO internet startup located in SOMA
	Build and ship software daily used by millions globally
	Get experience building internet scale systems 
	Work with a winning team composed of successful internet entrepreneurs and world-class engineers
	Free catered meals every day
	Competitive salary, generous stock options, and a decked out MacBook 
	We sponsor H-1 Visas

Responsibilities:

	Technical ownership our next gen social computing grid and data platform 
	Develop cutting edge social relevance algorithms which delight our users, all 56M of them

Requirements:
 
	BA/BS, Computer Science, MS in ML a plus
	Experienced in building, shipping, and scaling a consumer web property from scratch
	Fluent in the entire web framework stack, we use django, redis, memcache, mysql
	Master of backend service tech, distributed computing, message queues, no sql data stores
	Delivering high quality software -- elegant architecture, reliable, efficienct
	Inspiring work ethic, get things done, self-organized, and collaborative 


About Retrospective:

Retrospective is a pre-IPO internet startup located in San Francisco, CA. Visit us at http://www.retrospectiveapp.com/

keys: java, c++, c#, php, perl, python, databases, mysql, postgresql, memcache, cassandra, zynga, facebook, linkedin, google, yahoo, ebay, html, css, oracle, microsoft, j2ee, .NET. web 2.0, principal software engineer, staff software engineer, senior software engineer, software developer, web developer, product engineer, ui engineer, ui architect, ui designer, college grads, intern, h-1



Principals only. Recruiters, please don't contact this job poster.
Please, no phone calls about this job!
Please do not contact job poster about other services, products or commercial interests.
"
"Software Test Engineer - C#, Java (San Clemente)","http://sfbay.craigslist.org/sby/sof/2939848906.html",2012-04-04T16:15:43Z,"Position: Contract Principal Software Engineer
 General Position Summary:
 This position is responsible for creating and implementing test software to test products designed and manufactured at our client site. The testing will be in support of Engineering Validation and Manufacturing Test Systems.
 Position Responsibilities:
  Designs, codes and debugs software for automated or manual test equipment
  Leads in the resolution of test system vs. product performance anomalies
  Develops documentation associated with design activities
  Leads in test equipment hardware/software system architecture design tradeoffs
  Develops test equipment requirements and specifications, as required
  Works with external test equipment suppliers, as needed
  Complies with all design-related standards developed by external regulatory groups
  Complies with department and corporate quality initiatives
  Other duties and responsibilities as assigned
 Required Skills
 Desired/ Preferred Qualifications:
  Ten (10) plus years of code writing in object oriented programming languages, i.e. Java, C Sharp
  Experience with developing automated software and hardware test equipment
  Previous experience in medical device is preferred, or other high reliability environment
  Must be able to wear clean room clothing and work in a clean room environment (only as needed)
 Education/ Experience:
  Bachelors in Engineering, Physics, Computer Science or equivalent education, experience, skill set and/or proven performance
  or Masters in Engineering, Physics, Computer Science or equivalent education, experience, skill set and/or proven performance
  Plus 10 years of code writing in object oriented programming languages (C Sharp preferred)
 




 Location: San Clemente
 Compensation: $50.00/hr as a W2 Employee for 1 year Contract
Principals only. Recruiters, please don't contact this job poster.
Please, no phone calls about this job!
Please do not contact job poster about other services, products or commercial interests.
"
"QA Tester (foster city)","http://sfbay.craigslist.org/pen/sof/2939044356.html",2012-04-04T01:45:48Z,"Perfect World Entertainment is one of the fastest growing companies in the MMO gaming space. We are looking for candidates who like working in a startup atmosphere that offers personal and professional growth opportunities. We are located in Foster City and we offer full company paid benefits, PTO, bonuses and a casual dress environment. Our business hours are 10 am to 7 pm. Candidates that have a passion for video games are preferred, but it is not required.
 

The QA Tester will work with the QA Team to ensure that titles are fully localized and free of issues.  This position will play a lead role for QA Analysts with regard to bug structure, and will make sure that the bugs are fully researched.

Responsibilities & Job Duties	

Perform routine testing of our games before deployment and before patches and updates   	
Know the game inside and out and finding issues or flaws within the game	
Write bug reports in a format where the procedure can be clearly understood by all parties	
Use tools to monitor networking and game functionality	
Assist in the monitoring of our online games and providing technical support	
Collect, investigate, and process various data regarding in-game issues, exploits, and bugs  	

Requirements
2-3 years of prior QA experience
Knowledgeable of database and word processing programs 
Excellent attention to detail
Excellent communication skills, both written and verbal
The ability to execute processes to accomplish goals and tasks
Motivated and team oriented

Perfect World Entertainment is an Equal Opportunity Employer.

This is a contract position.If interested please email your resume and salary (hourly) expectation. Thank You!


 This is a contract job.
Principals only. Recruiters, please don't contact this job poster.
Please, no phone calls about this job!
Please do not contact job poster about other services, products or commercial interests.
"
"Selenium/ QA Training and placement  (santa clara)","http://sfbay.craigslist.org/sby/sof/2938913702.html",2012-04-04T00:21:51Z," new Batch starting next week!!! 

Selenium/ QA Training, Visa Sponsorship and Placements

After 100% successful placements from our previous batches, Now commencing its next batch for QA, Automation and Selenium. 

WITH 100% Guaranteed PLACEMENTS IN and around BAY AREA, CA!

InfoObjects is Welcoming OPT, CPT, GC, US Citizens, H1B, EAD, L1 and F1 candidates!

We are an E-Verified company has a big team of consultants with an impressive track record of performance. We have built our business around consistent, effective IT solutions and superior customer service and support.We provides IT services to a wide range of Fortune 500 and emerging companies. We have helped build and support the technical infrastructure of hundreds of companies.

	

Exclusive Instructor Guided Lab Sessions... Experienced Faculty... Interview and Project Assistance... Attracting Salary...



Highlights & Benefits 

* Well Experienced Faculty (12+ years, in Training and Development, IIT graduates) 

* Focus on Key Tools and Technologies required for project placement 

* Duration: 4 - 6 Weeks (Depends on Students Prior Background) 

* Exclusive Instructor Guided Lab Sessions 

* Samples/Projects for all Technologies and Tools 

*24/7 Assistance, for questions and issues 

* Guidance with Resume writing and Interview Preparation 

* Examinations, Quizzes and Group Discussions



 






 Compensation: DOE
 This is a contract job.
 This is an internship job
Principals only. Recruiters, please don't contact this job poster.
Please, no phone calls about this job!
Please do not contact job poster about other services, products or commercial interests.
"
"QUALITY CONTROL ENGINEER (concord / pleasant hill / martinez)","http://sfbay.craigslist.org/eby/sof/2938658411.html",2012-04-03T21:56:36Z,"Jopari is one of the leading suppliers of web-based ASCX12 EDI applications for the Property & Casualty and Health Insurance Industries.  Our technology powers electronic medical billing, payments and remittance processing, and portal interfaces for hundreds of insurance payers and managed care organizations nationally. We invite you to join our outstanding technical team. 

The Position:
Jopari QC engineers are part of our Development Team.  They assist coordination of tasks preparing release of new versions of products from a quality perspective.   Our QC engineers also work with product developers, implementation engineers and technical support in moving interfaces/maps and configuration files we build for each client into our production environment.  This QC engineer position involves creating and maintaining complex testing of interfaces and maps.  
Principal Role:
The QC Engineer ensures coordination of activities to deliver a complete product inclusive of Quality and Source Code Control.

Primary duties include:
1)	Coordinate closely with implementation engineers to ensure all interfaces/maps are functioning correctly.  Certify that all configuration files are properly set up in test environment and moved to production easily.
2)	Perform testing of complex projects;
3)	Install, configure and maintain production configuration files:
	Perform complex functional and regression/performance tests
	Track all bug reports, maintaining an active database of all issues and resolutions
	Develop automated test scripts for 24/7 testing
	Analyze and report on testing statistics
	Create tests to ""push the envelope"" and cause products to encounter all error condition types  
	Perform negative tests  
	Utilize automated test applications parallel to product development lifecycle. 
4)	Work with all other teams (technical writing, education, support) to assist in duplicating problems, sharing product knowledge and providing general all- around support for technical products.  
5)	Other assignments as may be delegated by Development Team manager.

Skills and Experience: 
	Minimum 2 years performing similar job function
	Bachelor's degree in a quantitative field, preferably Computer Science
	Two years plus of direct experience working as lead tester of software systems (understanding of QA processes), and/or general programming
	Understanding complete development process from design to release
	Familiarity with relevant business issues that can impact overall project plans
	Working knowledge of multiple operating systems, preferably Windows 7 (32 and 64 bit) and/or UNIX



 Compensation: Competitive Salary and Full Benefits Package
Principals only. Recruiters, please don't contact this job poster.
Please, no phone calls about this job!
Please do not contact job poster about other services, products or commercial interests.
"
"Senior Client Test Automation Engineer (san mateo)","http://sfbay.craigslist.org/pen/sof/2938497044.html",2012-04-03T20:35:11Z,"About Us:
ROBLOX is a leading user-generated gaming site that makes players the architects of their own 3D worlds, drawing over one billion page views and 21 million in-game hours each month. The site is ranked #1 in the US for total engagement time within the 8-14 year old segment, and is rapidly growing in popularity amongst players aged 15+. Our vision is to become the leader in user-generated gaming for all ages, around the world. On ROBLOX, players use core building components to create elaborate online games that simulate the real world. Join the team at ROBLOX to help develop and expand a cutting-edge product that is on the forefront of the user-generated gaming industry.

About the Job:
Join our Client QA Team and work collaboratively to expand and improve the efficiency of our automated test infrastructure.
	Own and optimize our Client Automated Test system, focusing on scale and efficiency.
	Design, develop, document and maintain the framework to automate client testing.
	Work with the release engineer to integrate the systems.
	Work with other QA engineers and leverage white-box testing to avoid unnecessary black-box testing efforts for each feature set.
	Help other members of the team understand how to improve the quality of their work through improved testing automation and tools.

Qualifications:
	Bachelor's degree or higher in Computer Science or a similar discipline. 
	5-7 years of experience.
	Experience building test harnesses for C++ applications (not websites).
	Previous experience with setting up automated test harnesses for multiple platforms.
	Experience using source code management systems (Perforce, Subversion, etc.).
	Attention to detail: ability to define test cases, document processes, set expectations and take over big projects with minimal supervision.
	Excellent written and verbal communication skills.
	Self-sufficient, creative, agile, able to work under pressure and pivot on a dime.

Nice to Have:
	Performance test experience is highly desirable.
	Experience with TeamCity.
	Experience working for a highly trafficked consumer website with more than 1 million unique visitors per month.

To Apply:
Please email us a copy of your resume and be sure to state the job you are applying for in the subject line. 
To view all of our current opportunities and learn more about ROBLOX, please go to: http://corp.roblox.com/jobs

Compensation:
Salary is negotiable based on experience and/or qualifications.  ROBLOX provides a complete compensation package including stock options, health insurance benefits and a 401k program.


Principals only. Recruiters, please don't contact this job poster.
Please, no phone calls about this job!
Please do not contact job poster about other services, products or commercial interests.
"
"SOFTWARE QA ENGINEER (financial district)","http://sfbay.craigslist.org/sfc/sof/2938285261.html",2012-04-03T18:54:56Z,"We are looking for people who want to work in a fun, collaborative, and fast paced environment where ownership, problem solving, and teamwork are rewarded. You will assist in evaluating new functionality, writing test scenarios, and executing test plans. You will review bug reports and assist with resolution. You'll work closely with the software development team to build, drive, and implement Quality Assurance processes used during software releases and scheduled patches.


Requirements

 
Genuine enjoyment of software testing, problem solving, and quality assurance work.
Ability to work independently, multitask and manage time effectively.
Strong problem solving and analytical skills.
Experience with databases and SQL.
Experience with QA tools and techniques, bug tracking systems, test design and execution.
Excellent communication skills (verbal, written, wiki, and white-boarding).
Bachelor's degree (or its equivalent) in Computer Science, Engineering or related field.
 

Nice to Have

  
Experience with software testing and previous software development work experience, particularly in web and e-commerce environments.
Familiarity with programming and/or scripting languages, particularly Java.
Knowledge of white box methodology.
 

About Us 


Switchfly's multi-tenant, internationalized, SaaS platform powers the world's most enviable brands. Our mission is to engineer rewarding experiences for our client's customers and to build world class software.

 
Our system processes millions of searches per month with bookings in over 100 countries, 50 currencies and 20 languages. We are growing to meet new business demand and are looking for talented engineers to join our strong team. We also just announced a new partnership with PayPal.

 TO APPLY FOLLOW LINK: http://www.switchfly.com/about-us/careers?gnk=apply&gni=8a42a12b34d020890134d37f4c8535a6&gns=Craigslist


 Compensation: doe
Principals only. Recruiters, please don't contact this job poster.
Please, no phone calls about this job!
Please do not contact job poster about other services, products or commercial interests.
"
"SQA Engineer III (fremont / union city / newark)","http://sfbay.craigslist.org/eby/sof/2938186237.html",2012-04-03T18:09:50Z,"Position Description:

The SQA Engineer III is a senior position in Synarc's Software Quality Assurance team. This individual will be responsible for testing and validation of software developed to support Synarc's radiologists, clinical data managers, operations staff, clients and partners.  The candidate must have a passion for testing, with significant experience in test automation, white box testing and database testing. 

Responsibilities:

 Test systems for functionality, accuracy, and adherence to specifications.
 Develop, maintain and execute test plans and test cases to ensure quality of software, including production rollouts.
 Ensure adherence to Quality Assurance and testing procedures.
 Expert knowledge in developing and executing complex automation scripts for functional and system level testing.
 Mentor team members in automation project validation and verification methods and test script design.
 Understand the testing and documentation requirements unique to a FDA regulated environment (GxP, 21 CFR Part 11).
 Champion SQA best practices and processes.
 Be a subject matter expert on automated testing tools and techniques.
 Ability to drive continual process and quality improvement to always make the next product of higher-quality than the one before.
 Communicate and document test objectives through Test Plans and Test Cases that map back to requirements and cover the technical design.
 Review, analyze, and provide feedback on product/project requirements documents and design specifications. 
 Document defects found during testing, including details on how to reproduce the defect.
 Troubleshooting, defect isolation and reporting. 
 Provide resource estimates for assigned testing deliverables.

Qualifications: 

Education: Minimum Bachelors Degree          
Experience: 5+ Years 
Experience with Quality Assurance and Control methods, and functional and structural testing techniques.
Experience with all phases of the development life cycle.
Experience with automation tools in an Engineering environment (QTP, QC) and practical experience with incorporating automated testing into a SDLC.
Ability to read and understand coding languages and logic.        
Skills: Good problem solving, organizational, interpersonal and team skills. 
Good written and verbal communication skills. Attention to details.





 Compensation: TBD
Principals only. Recruiters, please don't contact this job poster.
Please, no phone calls about this job!
Please do not contact job poster about other services, products or commercial interests.
"
"Highly Skilled QA Automation Architect Wanted (cupertino)","http://sfbay.craigslist.org/sby/sof/2938127597.html",2012-04-03T17:43:33Z,"Description 
 
SugarCRM Inc. is a fast growing commercial open source customer relationship management (CRM) software company based in Cupertino California. SugarCRM's Sugar Suite adapts to any business environment by offering a more flexible and cost-effective alternative than proprietary applications.

We have an immediate opening for a QA Automation Architect. We are seeking a self-motivated individual looking to help build a world-class software organization in the commercial open source market.

Key Qualifications & Responsibilities

The position plays a key role in a fast-paced development environment to facilitate quality and efficient product development via test automation. The candidate must have strong coding ability and be experienced with the open source technology and tools for test automation. This is a rare opportunity to be part of a team that builds highly interactive business applications that tens of thousands of users download each month.

7 or more years experience in Software Quality Assurance, including at least three years in automation. 
Experience with automated end-to-end and unit testing using open source or commercial test tools. 
Experience in quality assurance of software development life cycle. 
Understanding of web technologies,such as HTML/CSS/Javascript/XML/HTTP Protocol. 
Experience with Hudson/Jenkins Continuous Integration System 
Ability to work in a fast paced, dynamic and team oriented environment. 
Solid hands-on coding ability 
Enthusiasm for understanding and troubleshooting complex systems. 
Motivated and assertive in learning and taking ownership of projects. 
Bachelor degree in Computer Science, or related Engineering field. 
Familiar with Shell scripting. 
Experience in writing and debugging programs in scripting languages such as PHP 
 
Please apply here:

http://www.sugarcrm.com/about/current-openings


Principals only. Recruiters, please don't contact this job poster.
Please, no phone calls about this job!
Please do not contact job poster about other services, products or commercial interests.
"
"QA Tester -  @ Sequoia backed start up POCKET GEMS! (financial district)","http://sfbay.craigslist.org/sfc/sof/2937219801.html",2012-04-03T03:04:25Z,"Description

Pocket Gems has figured out the ""secret sauce"" to making great mobile games that are highly engaging and fun to play.  Our titles have all been smash hits, each landing at the top of the App Store charts.  Our team of engineers,testers, product managers and artists is comprised of some of the smartest and most talented people in gaming.   Pocket Gems is backed by Sequoia Capital and growing quickly! 
 
We have a lot of fun working together to build a great company and creating a culture that offers members the freedom to take ownership of their respective projects.  We're looking for people who love the idea of creating highly engaging mobile games and are eager to work in a fast-paced environment.  
 
Job Description:
 
How would you like to spend your day playing and testing the most popular games on the most popular mobile devices? Sounds pretty sweet, right?  We think so too!  As a QA tester at Pocket Gems, you'll be part of the team pushing the mobile frontier: testing in the most responsive, polished and flexible gaming environments. You'll also be tackling exciting testing challenges: verifying continuously updated gaming content, testing multiple games, and helping create the best mobile gaming testing tools and working with mobile engineers who crave and appreciate each of your bugs - imagine that! And, you will have a seat at the table when designing and enhancing our games - we love great ideas and don't care where they come from.
 
Qualifications/Desire Skills:
Prefer 2 years of experience working in the software development industry as a tester, developer or tech support
Passion for testing with an understanding of QA methodologies
Ability to write relevant, actionable, and reproducible bug reports that stand up to withering scrutiny
An appreciation for software development processes
User-level experience with iPhone or Android
Ability to recognize test case deficiencies and propose improvements
Mobile Game testing experience a plus


Click here to apply.


Principals only. Recruiters, please don't contact this job poster.
Please, no phone calls about this job!
Please do not contact job poster about other services, products or commercial interests.
"
