title,link,dc_date
"&#9658;&#9658; Lead Software Engineer - Fastest growing social startup!  (mountain view)","http://sfbay.craigslist.org/pen/sof/2940122652.html",2012-04-04T18:17:08Z
"Software Test Engineer - C#, Java (San Clemente)","http://sfbay.craigslist.org/sby/sof/2939848906.html",2012-04-04T16:15:43Z
"QA Tester (foster city)","http://sfbay.craigslist.org/pen/sof/2939044356.html",2012-04-04T01:45:48Z
"Selenium/ QA Training and placement  (santa clara)","http://sfbay.craigslist.org/sby/sof/2938913702.html",2012-04-04T00:21:51Z
"QUALITY CONTROL ENGINEER (concord / pleasant hill / martinez)","http://sfbay.craigslist.org/eby/sof/2938658411.html",2012-04-03T21:56:36Z
"Senior Client Test Automation Engineer (san mateo)","http://sfbay.craigslist.org/pen/sof/2938497044.html",2012-04-03T20:35:11Z
"SOFTWARE QA ENGINEER (financial district)","http://sfbay.craigslist.org/sfc/sof/2938285261.html",2012-04-03T18:54:56Z
"SQA Engineer III (fremont / union city / newark)","http://sfbay.craigslist.org/eby/sof/2938186237.html",2012-04-03T18:09:50Z
"Highly Skilled QA Automation Architect Wanted (cupertino)","http://sfbay.craigslist.org/sby/sof/2938127597.html",2012-04-03T17:43:33Z
"QA Tester -  @ Sequoia backed start up POCKET GEMS! (financial district)","http://sfbay.craigslist.org/sfc/sof/2937219801.html",2012-04-03T03:04:25Z
"QA Engineer","http://sfbay.craigslist.org/sby/sof/2936942023.html",2012-04-03T00:01:27Z
"Automated QA Engineer for Buffalo Studios SF (potrero hill)","http://sfbay.craigslist.org/sfc/sof/2936925282.html",2012-04-02T23:51:57Z
"Software Development Engineer in Test (san mateo)","http://sfbay.craigslist.org/pen/sof/2936860677.html",2012-04-02T23:16:06Z
"QA Senior Manager - PLM & DM (San Francisco, CA)","http://sfbay.craigslist.org/sfc/sof/2936841835.html",2012-04-02T23:05:43Z
"Contract QA Database Tester with Strong SQL Skills (SOMA / south beach)","http://sfbay.craigslist.org/sfc/sof/2936696607.html",2012-04-02T21:49:40Z
"QA Automation Engineer - NA2012-7 (sunnyvale)","http://sfbay.craigslist.org/sby/sof/2936678249.html",2012-04-02T21:40:18Z
"QA Engineer @ MarkMonitor (SOMA / south beach)","http://sfbay.craigslist.org/sfc/sof/2940490004.html",2012-04-04T21:10:07Z
"bilingual SW QA testers - Vietnamese, Indonesian and more (South Bay)","http://sfbay.craigslist.org/sby/sof/2940464295.html",2012-04-04T20:57:32Z
"QA Automation Engineer (financial district)","http://sfbay.craigslist.org/sfc/sof/2940536940.html",2012-04-04T21:34:03Z
"Senior QA Automation Engineer (financial district)","http://sfbay.craigslist.org/sfc/sof/2940636108.html",2012-04-04T22:26:20Z
"Test (QA) & Release Engineer (emeryville)","http://sfbay.craigslist.org/eby/sof/2941798293.html",2012-04-05T16:37:45Z
